At,Heartrate
18/01/2024 15:06:04,75
18/01/2024 15:06:04,75
18/01/2024 15:06:04,75
18/01/2024 15:06:36,76
18/01/2024 15:06:36,76
18/01/2024 15:06:36,76
18/01/2024 15:06:36,76
18/01/2024 15:06:37,75
18/01/2024 15:06:37,75
18/01/2024 15:06:37,75
18/01/2024 15:06:37,75
18/01/2024 15:06:43,76
18/01/2024 15:06:43,76
18/01/2024 15:06:43,76
18/01/2024 15:06:43,76
18/01/2024 15:06:48,76
18/01/2024 15:06:48,76
18/01/2024 15:06:48,76
18/01/2024 15:06:48,76
18/01/2024 16:20:58,76
18/01/2024 16:21:03,77
18/01/2024 16:21:06,79
18/01/2024 16:21:07,81
18/01/2024 16:21:09,83
18/01/2024 16:21:10,84
18/01/2024 16:21:11,83
18/01/2024 16:21:16,83
18/01/2024 16:21:22,83
18/01/2024 16:21:23,82
